Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;
Sample 0;43.573856;393.0175;880.38116;1583.0344;1881.519;2279.7666;2245.2483;2132.132;2151.6519;2249.0305;2466.099;2660.635;2675.3489;2715.3718;2800.1565;2857.606;2913.2935;2894.6033;2961.0454;3022.7957;3126.1157;3188.7117;3136.163;3118.014;3154.2383;3215.8335;3313.8438;3334.263;3346.9004;3384.516;3424.6501;3443.9602;3484.425;3521.1445;3559.9639;3618.9846;3558.8943;3512.9321;3493.438;3506.409;3533.4614;3513.4043;3505.3296;3519.3298;3567.4546;3613.1055;3634.7817;3666.9941;3686.2017;3702.412;
Sample 1;803.856;1536.9425;2149.506;2592.0642;2765.4292;2894.8027;3108.8127;3525.1162;3786.1973;3814.3708;3912.058;3966.0588;4084.9475;4039.286;3909.294;3875.9631;3802.5356;3775.7812;3643.2786;3566.667;3547.0234;3506.8438;3526.534;3589.4143;3668.4656;3641.4258;3640.3367;3739.6074;3850.052;3830.556;3865.1316;3953.1729;3868.2363;3780.215;3704.1978;3898.4612;4085.171;4067.9197;4033.2483;4034.6194;4055.7324;4014.4465;4008.3171;4040.1836;4092.5425;4135.795;
Sample 2;1132.8345;1936.5299;1953.6342;2359.6392;2808.1594;2815.812;2870.5403;3151.667;3411.36;3499.6138;3641.706;3743.9988;3910.185;3708.1045;3575.0312;3471.2307;3386.7627;3405.1843;3458.9304;3534.5825;3540.1743;3543.904;3621.9304;3684.5132;3732.409;3758.189;3819.4353;3921.331;3965.4885;4029.201;4060.1658;4111.514;4131.2007;4199.999;4249.5796;4158.3135;4092.2463;4040.9094;4030.5667;4033.7124;3982.3298;3935.5457;3890.9248;3851.0017;3834.3735;3844.216;3875.9397;3921.977;
Sample 3;1310.183;2090.882;2949.2456;3461.4338;3569.6306;3734.3362;3771.7937;4241.386;4358.0083;4455.594;4510.168;4581.8296;4542.6914;4649.0054;4635.116;4440.963;4373.079;4367.757;4373.8384;4433.646;4395.094;4344.714;4423.4946;4496.2344;4546.3853;4556.293;4533.773;4530.598;4503.535;4505.5166;4531.9824;4702.8945;4683.985;4692.3696;4612.7363;4522.8936;4464.018;4420.7144;4422.5166;4442.5293;4471.202;4502.982;
Sample 4;1207.1566;2014.7471;2942.192;3583.247;3673.9124;3729.5159;3949.7288;4072.4255;4147.6353;4261.046;4298.917;4349.787;4420.743;4241.7993;4236.406;4269.223;4309.838;4260.9097;4271.5625;4320.5464;4376.4253;4424.354;4477.523;4467.647;4510.359;4534.3716;4549.71;4540.4507;4569.1406;4479.677;4378.558;4371.2207;4391.1987;4434.996;4402.0054;4411.363;4426.8564;4440.786;4430.558;4415.2495;4402.1045;4419.4185;4413.821;4366.051;4350.506;
Sample 5;1045.7817;1474.3827;2262.7903;2586.9233;2854.9795;2568.505;2668.783;2892.7627;3078.487;3190.1282;3266.5256;3293.6382;3426.9712;3553.4377;3728.866;3808.002;3881.7302;3950.0427;3908.9946;3950.7617;4008.2256;3973.1714;3985.7327;3947.4639;3925.0618;3959.728;3887.9634;3819.142;3754.6343;3691.7769;3658.7803;3681.515;3713.4287;3738.845;3779.5852;3790.2659;3809.4966;3863.2375;3877.6704;3887.4395;3939.719;3987.7864;4003.835;4019.0251;3996.2769;4024.897;4020.9207;4017.9597;
Sample 6;1222.7349;2103.0693;2603.5024;3118.3054;3214.9585;3215.4714;3511.6064;3773.8806;3875.706;3986.5486;4075.7551;4153.2515;4068.7092;4177.415;4092.975;4362.7;4196.5547;4135.774;4171.464;4236.9307;4334.2153;4320.334;4318.529;4354.58;4359.19;4359.813;4376.347;4426.657;4417.5396;4425.3687;4411.514;4451.613;4496.913;4534.735;4514.2314;4529.552;4442.191;4421.519;4447.2515;4468.919;4478.6626;
Sample 7;1078.9396;1895.5779;2454.2107;2996.3389;3052.6233;3126.1992;3145.188;3441.639;3608.89;3622.775;3717.0962;3789.6042;3871.38;3897.71;3949.797;3915.3428;3926.025;4054.4465;4173.157;4065.7517;4061.6877;4100.1543;4065.8235;4008.9172;4004.8335;4055.3909;4105.029;4125.1113;4148.677;4168.9043;4210.6094;4213.622;4207.1226;4211.318;4213.6743;4233.2686;4307.195;4287.577;4240.286;4231.6045;4208.944;4188.0903;4188.589;4212.119;4257.8438;
Sample 8;1114.2432;1760.3228;2520.6465;3118.4453;3285.7878;3481.0686;3662.1016;3885.1191;3915.152;4067.7651;4177.746;4359.026;4477.64;4584.1387;4708.124;4535.958;4435.8647;4434.344;4323.538;4289.3076;4196.078;4064.9348;3990.0146;4004.4856;4055.2383;4127.249;4113.5522;4150.422;4176.727;4244.4727;4264.3516;4313.701;4332.903;4373.2876;4314.1733;4292.8623;4299.9976;4375.501;4376.636;4395.3325;4407.1973;4444.155;
Sample 9;1487.1843;2186.81;2088.3408;2416.6953;2573.864;2654.0027;2698.0342;2772.2725;3156.2668;3390.066;3518.878;3517.8257;3505.9722;3638.5583;3856.9792;3901.405;3881.6592;3917.9211;3999.3528;4039.2957;4061.4438;4070.245;4087.2659;4093.6804;4061.6514;4091.4355;4347.1016;4248.34;4205.9644;4185.288;4127.896;4067.065;4050.7905;4042.1726;4060.1965;4012.8076;4227.656;4155.255;4134.7827;4139.6973;4154.5176;4189.608;4207.6157;4204.694;4269.0747;

Sample;Average
Sample 0;3776.0928
Sample 1;4161.837
Sample 2;3972.755
Sample 3;4505.773
Sample 4;4350.266
Sample 5;4026.9968
Sample 6;4554.46
Sample 7;4278.862
Sample 8;4501.3516
Sample 9;4324.7266

Total max:;4554.46;
Total average:;4245.312;