Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;
Sample 0;306.4;1106.6372;1575.5687;2213.762;2841.4778;2982.9106;3100.5452;3244.7231;3384.1628;3361.1453;3413.488;3460.7957;3507.8503;3591.52;3804.915;3749.0095;3734.4124;3769.1917;3673.9526;3527.9026;3477.7402;3541.1125;3608.1414;3728.8555;3714.5483;3728.11;3762.0513;3810.2046;3896.7922;3863.7563;3873.6084;3904.9268;3929.2253;3955.12;3932.4697;3886.5159;3869.5002;3835.0264;3845.1973;3809.5874;3806.8652;3829.2156;3879.9421;3880.476;3895.4277;3909.149;3933.5286;3996.565;
Sample 1;993.50323;2001.8993;1971.084;2347.674;2855.9907;2936.6106;3119.9783;3392.2913;3696.7483;3767.2832;3876.2;3998.6787;4147.6104;4134.888;4163.9766;4157.7144;4170.67;4336.4883;4254.6704;4149.13;4125.2046;4169.0996;4045.7222;4005.8958;4056.9475;4123.672;4183.2485;4197.342;4207.6343;4243.3584;4300.0986;4300.46;4342.5806;4359.542;4360.836;4364.062;4359.6265;4378.011;4439.824;4472.8657;4491.1533;4430.778;4420.2227;4373.2446;4327.533;
Sample 2;1168.6387;2001.8574;2892.1235;3448.8188;3437.466;3591.449;3797.711;4055.0288;4080.7815;4201.681;4286.084;4366.403;4398.1694;4471.887;4309.292;4304.944;4204.438;4138.6274;4213.7;4306.2534;4356.8096;4389.0674;4420.1343;4410.301;4555.567;4489.6963;4436.561;4455.3135;4369.5396;4297.54;4268.5044;4299.9272;4352.2207;4289.942;4217.367;4149.5386;4092.8384;4079.0867;4105.0303;4149.3755;4146.934;4152.4473;4178.1055;4229.761;
Sample 3;1249.1528;2117.3845;3113.7378;2831.2527;2519.3452;2648.4265;2959.3303;3227.1697;3479.3545;3541.9656;3673.8628;3842.805;4017.2983;4114.683;4215.535;4299.9854;4239.6772;4155.934;4202.703;4300.7466;4377.6226;4407.0737;4418.159;4480.0254;4518.635;4582.723;4632.729;4633.9795;4533.625;4494.4673;4474.522;4412.6206;4398.658;4359.588;4340.5503;4377.62;4421.276;4476.799;4485.826;4502.784;4531.6465;4555.987;
Sample 4;1567.9729;2360.05;3098.3066;3622.7817;3576.7444;3696.201;4023.3333;4184.2944;4368.8535;4380.4536;4531.69;4574.0684;4637.057;4688.73;4701.0474;4658.364;4802.132;4835.5103;4737.622;4639.706;4622.0366;4705.8135;4738.68;4716.2065;4601.7427;4508.707;4447.2896;4406.1187;4327.483;4280.683;4228.8984;4224.1743;4294.4346;4294.6123;4249.8667;4203.8594;4204.146;4260.4004;4306.2812;4312.553;4329.741;4366.039;4434.6333;
Sample 5;1271.6183;2259.3218;2152.898;2484.2979;3035.0232;3123.8467;3214.8599;3485.3416;3749.2292;3896.9636;4071.6296;4207.2837;4230.438;4294.0527;4333.6914;4423.6455;4504.038;4426.7144;4455.074;4496.1772;4458.1865;4469.5503;4523.146;4611.1904;4554.096;4608.6216;4664.3804;4633.9214;4559.6597;4540.398;4582.4463;4632.281;4617.7207;4619.9937;4658.643;4708.7476;4699.848;4701.737;4704.6167;4789.813;
Sample 6;1115.4536;2178.2058;3095.9888;3720.3423;3775.3281;3962.605;4200.5903;4503.573;4507.3154;4619.203;4669.8867;4700.044;4464.4746;4341.59;4342.576;4416.2764;4369.314;4382.0513;4391.3423;4479.057;4507.474;4542.8306;4568.0596;4554.193;4621.2363;4635.005;4746.5923;4674.0776;4623.553;4638.2007;4682.301;4728.6206;4769.819;4790.1533;4820.877;4826.293;4852.348;4864.9175;4886.0625;
Sample 7;1327.3799;2357.1707;3228.0212;3749.908;3742.1843;3788.886;4042.192;4365.633;4478.911;4552.7925;4597.9976;4608.901;4617.338;4827.975;4634.034;4489.2837;4457.5786;4504.3345;4558.533;4667.032;4644.716;4677.7397;4726.8936;4757.6475;4813.8135;4828.5684;4873.6177;4872.466;4874.6777;4833.186;4855.0933;4820.2456;4782.686;4840.107;4892.5103;4886.208;4885.21;4893.251;4916.9097;
Sample 8;947.02765;1422.332;1901.1066;2122.5461;2336.2695;2402.725;2509.5034;2624.875;2714.2344;2880.281;2923.9036;3038.2607;3127.971;3188.864;3325.5498;3518.5442;3421.8726;3382.9187;3361.9722;3417.0063;3410.5686;3429.487;3479.8965;3543.1956;3519.0994;3561.1606;3619.0735;3695.6118;3767.2354;3785.3845;3812.8108;3845.3892;3763.0212;3724.452;3743.4822;3782.454;3801.984;3849.202;3834.7222;3792.6907;3750.5376;3707.0671;3702.4275;3707.8796;3688.9106;3684.2917;3696.6343;3691.8813;3691.2864;3704.6133;3714.5044;
Sample 9;1411.8118;1672.6146;2285.324;2828.1345;2895.439;2979.789;3048.838;3190.4102;3391.5828;3379.258;3468.962;3552.1619;3593.8425;3626.794;3655.2322;3771.617;3918.1873;3934.8987;3885.0994;3852.7573;3852.3296;3919.4507;3981.368;3981.5938;4018.3347;4025.6282;4045.4443;4043.0747;4045.311;4056.2024;4039.3604;4131.1724;4110.592;4051.2832;4046.6978;4060.8284;4045.3506;3974.7493;3917.519;3893.7913;3878.4617;3884.841;3906.5088;3872.5137;3884.4248;3898.5544;3920.4226;3941.251;3996.1853;

Sample;Average
Sample 0;4033.543
Sample 1;4305.316
Sample 2;4282.4536
Sample 3;4591.6
Sample 4;4477.1875
Sample 5;4853.662
Sample 6;4875.48
Sample 7;4921.817
Sample 8;3714.3032
Sample 9;4014.3394

Total max:;4921.817;
Total average:;4406.97;